[2015-09-18 00:03:31] Sudhansu1, quitting. (Quit: Sudhansu1)
[2015-09-18 05:07:05] jimpurbrick, quitting. (Quit: Leaving.)
[2015-09-18 05:09:56] p0deje, quitting. (Quit: p0deje)
[2015-09-18 05:11:13] Citizenken, joining. (#selenium)
[2015-09-18 05:13:27] Neo--, joining. (#selenium)
[2015-09-18 05:16:41] Sudhansu, quitting. (Read error: Connection reset by peer)
[2015-09-18 05:16:52] Sudhansu, joining. (#selenium)
[2015-09-18 05:21:23] T3ng`, quitting. (Remote host closed the connection)
[2015-09-18 05:30:02] Selenium-Github: [13selenium] 15titusfortner pushed 1 new commit to 06master: 02http://git.io/vnLxS
[2015-09-18 05:30:02] Selenium-Github: 13selenium/06master 14221ef07 15Titus Fortner: fix conditional logic
[2015-09-18 05:35:39] sircapsalot: ey, titusfortner
[2015-09-18 05:35:40] sircapsalot: how goes it
[2015-09-18 05:39:00] qwebirc13502, joining. (#selenium)
[2015-09-18 05:39:00] rananda, quitting. (Ping timeout: 244 seconds)
[2015-09-18 05:39:01] qwebirc13502, quitting. (Client Quit)
[2015-09-18 05:40:16] andrewmkrug_, joining. (#selenium)
[2015-09-18 05:40:16] nirvdrum, joining. (#selenium)
[2015-09-18 05:42:54] jimpurbrick, joining. (#selenium)
[2015-09-18 05:43:32] rananda, joining. (#selenium)
[2015-09-18 05:44:13] p0deje, joining. (#selenium)
[2015-09-18 05:46:33] RedAero: If I define the driver in one function (in python) and set it to a global variable, can I simply use driver.close() in another function to close the browser?
[2015-09-18 05:56:06] shawnknight, joining. (#selenium)
[2015-09-18 05:56:49] richdownie, leaving. (#selenium)
[2015-09-18 06:00:13] alien_, joining. (#selenium)
[2015-09-18 06:01:01] cristi, quitting. (Read error: Connection reset by peer)
[2015-09-18 06:07:32] blackboxd, joining. (#selenium)
[2015-09-18 06:11:25] trentp, joining. (#selenium)
[2015-09-18 06:12:45] drptbl_, joining. (#selenium)
[2015-09-18 06:15:08] jconstance, joining. (#selenium)
[2015-09-18 06:15:20] drptbl, quitting. (Ping timeout: 240 seconds)
[2015-09-18 06:19:04] barancev, quitting. (Read error: Connection reset by peer)
[2015-09-18 06:22:12] T3ng`, joining. (#selenium)
[2015-09-18 06:25:40] dubner, quitting. (Ping timeout: 240 seconds)
[2015-09-18 06:27:02] T3ng`, quitting. (Ping timeout: 256 seconds)
[2015-09-18 06:30:33] T3ng`, joining. (#selenium)
[2015-09-18 06:30:50] SitamJana1, joining. (#selenium)
[2015-09-18 06:31:58] SitamJana, quitting. (Ping timeout: 264 seconds)
[2015-09-18 06:31:58] SitamJana1, changing nick to SitamJana.
[2015-09-18 06:33:21] RedAero, quitting. (Quit: http://www.kiwiirc.com/ - A hand crafted IRC client)
[2015-09-18 06:49:21] jimpurbrick, quitting. (Quit: Leaving.)
[2015-09-18 06:50:30] RedAero, joining. (#selenium)
[2015-09-18 06:50:51] SitamJana, quitting. (Quit: SitamJana)
[2015-09-18 06:51:38] SitamJana, joining. (#selenium)
[2015-09-18 06:52:46] michl68, quitting. (Quit: michl68)
[2015-09-18 06:59:21] Porfa, joining. (#selenium)
[2015-09-18 06:59:36] Porfa: hello guys
[2015-09-18 07:00:41] jimpurbrick, joining. (#selenium)
[2015-09-18 07:00:46] Porfa: I'm new to selenium, Im using ruby selenium-webdriver and i have a doubt.. can i edit a url before clicking it?
[2015-09-18 07:01:24] Porfa: driver.find_elements(:css, "a[href*='220:530']")[0].attribute("href")  the output of this is, " www.google.com/1234 " i want to change it to " www.google.com/5678 "
[2015-09-18 07:02:07] dimacus, joining. (#selenium)
[2015-09-18 07:10:27] shawnknight, quitting. (Quit: shawnknight)
[2015-09-18 07:14:34] p0deje, quitting. (Quit: p0deje)
[2015-09-18 07:16:16] shawnknight, joining. (#selenium)
[2015-09-18 07:17:00] Nizumzen, quitting. (Quit: KVIrc 4.2.0 Equilibrium http://www.kvirc.net/)
[2015-09-18 07:21:00] MrCoder, quitting. (Ping timeout: 240 seconds)
[2015-09-18 07:28:59] jimpurbrick, quitting. (Quit: Leaving.)
[2015-09-18 07:29:52] SitamJana, quitting. (Quit: SitamJana)
[2015-09-18 07:33:07] jimpurbrick, joining. (#selenium)
[2015-09-18 07:34:18] MrCoder, joining. (#selenium)
[2015-09-18 07:39:15] dude-x, joining. (#selenium)
[2015-09-18 07:42:17] jmeaney, joining. (#selenium)
[2015-09-18 07:43:44] dude-x, quitting. (Read error: Connection reset by peer)
[2015-09-18 07:45:02] dude-x, joining. (#selenium)
[2015-09-18 07:45:31] jimpurbrick, quitting. (Quit: Leaving.)
[2015-09-18 07:47:41] jimpurbrick, joining. (#selenium)
[2015-09-18 07:51:48] D3M0S: Porfa, what is your reasoning behind this?
[2015-09-18 07:52:36] D3M0S: Porfa, and are you using selenium to test or for some other application?
[2015-09-18 07:56:34] kggr, quitting. (Ping timeout: 264 seconds)
[2015-09-18 07:58:09] drptbl_, quitting. (Quit: My MAC has gone to sleep. zZz..)
[2015-09-18 08:00:03] p0deje, joining. (#selenium)
[2015-09-18 08:02:10] realz_, changing nick to realz.
[2015-09-18 08:02:14] realz, quitting. (Changing host)
[2015-09-18 08:02:14] realz, joining. (#selenium)
[2015-09-18 08:05:51] CelineYum, joining. (#selenium)
[2015-09-18 08:06:01] Machinista, quitting. (Quit: Cheerio)
[2015-09-18 08:06:23] ET1, joining. (#selenium)
[2015-09-18 08:08:00] jimpurbrick, quitting. (Quit: Leaving.)
[2015-09-18 08:08:44] ET1, quitting. (Client Quit)
[2015-09-18 08:11:00] ET1, joining. (#selenium)
[2015-09-18 08:11:43] jimpurbrick, joining. (#selenium)
[2015-09-18 08:11:48] rplevka, quitting. (Ping timeout: 240 seconds)
[2015-09-18 08:12:08] drptbl, joining. (#selenium)
[2015-09-18 08:20:34] trentp, quitting. (Ping timeout: 264 seconds)
[2015-09-18 08:21:52] jimpurbrick, quitting. (Quit: Leaving.)
[2015-09-18 08:23:08] nirvdrum, quitting. (Ping timeout: 240 seconds)
[2015-09-18 08:23:18] WhereIsMySpoon, joining. (#selenium)
[2015-09-18 08:24:04] ET1, quitting. (Quit: Leaving.)
[2015-09-18 08:26:23] WhereIsMySpoon, quitting. (Changing host)
[2015-09-18 08:26:24] WhereIsMySpoon, joining. (#selenium)
[2015-09-18 08:26:24] WhereIsMySpoon, quitting. (Changing host)
[2015-09-18 08:26:24] WhereIsMySpoon, joining. (#selenium)
[2015-09-18 08:27:16] Padawan, quitting. (Disconnected by services)
[2015-09-18 08:27:27] Padawan_, joining. (#selenium)
[2015-09-18 08:30:49] T3ng`, quitting. (Remote host closed the connection)
[2015-09-18 08:31:29] drptbl, quitting. (Quit: My MAC has gone to sleep. zZz..)
[2015-09-18 08:32:21] sircapsalot, quitting. (Quit: Leaving.)
[2015-09-18 08:34:30] tony3, quitting. (Quit: Leaving.)
[2015-09-18 08:35:20] jimpurbrick, joining. (#selenium)
[2015-09-18 08:35:26] jimpurbrick, quitting. (Client Quit)
[2015-09-18 08:42:35] RedAero: I've got this web form I'm trying to automate and optimize, but it has dropdown menus which refresh the page when set
[2015-09-18 08:43:17] RedAero: I want to avoid this, and Javascript seems like an option, but this brought up a general question: is Selenium simply simulating mouse clicks when it navigates a page by .click() or the Select function?
[2015-09-18 08:44:40] dude-x: RedAero: usually yes, but it depends on the OS, and browser
[2015-09-18 08:45:22] RedAero: this'd be Firefox in Win7
[2015-09-18 08:46:18] dimacus, quitting. (Quit: Leaving.)
[2015-09-18 08:46:33] dude-x: i'm not 100% certain but firefox on win7 would use native events. however I Think the latest version doesn't support native events anymore (mouse clicks are real clicks as opposed to Javascript)
[2015-09-18 08:47:45] Sudhansu, quitting. (Quit: Sudhansu)
[2015-09-18 08:48:55] WhereIsMySpoon: dude-x: there are no more native events
[2015-09-18 08:49:03] RedAero: yeah, it certainly looks that way, because JS doesn't refresh the page I think
[2015-09-18 08:49:08] WhereIsMySpoon: barancev said this the other day
[2015-09-18 08:49:13] WhereIsMySpoon: i think
[2015-09-18 08:50:59] dude-x: RedAero: the latest Firefox ESR (or the seconnd latest) still supports Native events
[2015-09-18 08:56:42] b10n1k, changing nick to b10n1k_.
[2015-09-18 08:56:55] kggr, joining. (#selenium)
[2015-09-18 08:57:48] RedAero: ESR?
[2015-09-18 08:58:01] b10n1k_, changing nick to b10n1k_afk.
[2015-09-18 08:58:05] RedAero: Also, if that's so, would sending JS manually be an option?
[2015-09-18 08:58:29] b10n1k_afk, quitting. (Quit: WeeChat 0.4.2)
[2015-09-18 08:58:47] ET1, joining. (#selenium)
[2015-09-18 08:59:12] dude-x: yes
[2015-09-18 08:59:22] dude-x: with execute script
[2015-09-18 09:03:04] D3M0S: RedAero, Extended Support Release
[2015-09-18 09:03:29] D3M0S: so it might not be the latest version of firefox, but it will continue to be supported for a good long while
[2015-09-18 09:06:15] Guest48, joining. (#selenium)
[2015-09-18 09:06:17] spacenomad, quitting. (Remote host closed the connection)
[2015-09-18 09:07:57] p0deje, quitting. (Quit: p0deje)
[2015-09-18 09:08:23] spacenomad, joining. (#selenium)
[2015-09-18 09:08:45] tony3, joining. (#selenium)
[2015-09-18 09:09:45] spacenomad, quitting. (Remote host closed the connection)
[2015-09-18 09:14:27] Guest48, quitting. (Quit: Textual IRC Client: www.textualapp.com)
[2015-09-18 09:14:56] Guest48, joining. (#selenium)
[2015-09-18 09:15:10] bimmelino, quitting. (Ping timeout: 255 seconds)
[2015-09-18 09:20:36] lukeis, joining. (#selenium)
[2015-09-18 09:21:37] lukeis: titusfortner / titusfor_: yeah, ruby is particularly strict about that sort of thing… python is not so much :)
[2015-09-18 09:21:48] qwebirc37364, joining. (#selenium)
[2015-09-18 09:22:04] __gotcha, quitting. (Ping timeout: 246 seconds)
[2015-09-18 09:22:06] lukeis: well, i should say, the ruby bindings are strict, ruby doesn't give a damn ;)
[2015-09-18 09:22:12] qwebirc37364, quitting. (Client Quit)
[2015-09-18 09:22:56] lukeis: had a similar issue with ios-driver initially because the new session didn't respond with the JavascriptEnabled capability
[2015-09-18 09:24:09] sircapsalot, joining. (#selenium)
[2015-09-18 09:28:05] Porfa: how to handle this??
[2015-09-18 09:28:06] Porfa: 2.2.1 :045 > driver.find_element(:id,"delete").click
[2015-09-18 09:28:06] Porfa:  => "Would you like to perform this delete action?"
[2015-09-18 09:28:17] Porfa: it's a popup window
[2015-09-18 09:28:37] WhereIsMySpoon: Porfa: is it an alert?
[2015-09-18 09:28:44] dude-x: is it a javacsript alert?
[2015-09-18 09:28:50] WhereIsMySpoon: if so, driver.switch_to().alert().accept()
[2015-09-18 09:28:51] WhereIsMySpoon: i think
[2015-09-18 09:29:48] Porfa: yep! thank you WhereIsMySpoon
[2015-09-18 09:32:42] MrCoder, quitting. (Remote host closed the connection)
[2015-09-18 09:33:54] dimacus, joining. (#selenium)
[2015-09-18 09:34:28] [rahul], joining. (#selenium)
[2015-09-18 09:35:08] dolu, joining. (#selenium)
[2015-09-18 09:38:41] anu_c, joining. (#selenium)
[2015-09-18 09:39:27] davehunt, joining. (#selenium)
[2015-09-18 09:39:59] RedAero, quitting. (Quit: http://www.kiwiirc.com/ - A hand crafted IRC client)
[2015-09-18 09:41:48] T3ng`, joining. (#selenium)
[2015-09-18 09:42:44] shawnknight, quitting. (Quit: shawnknight)
[2015-09-18 09:44:00] lukeis1, joining. (#selenium)
[2015-09-18 09:44:12] lukeis, quitting. (Ping timeout: 240 seconds)
[2015-09-18 09:46:22] T3ng`, quitting. (Ping timeout: 264 seconds)
[2015-09-18 09:46:28] lukeis1, changing nick to lukeis.
[2015-09-18 09:47:43] barancev, joining. (#selenium)
[2015-09-18 09:51:39] merobertsjr, joining. (#selenium)
[2015-09-18 09:52:59] Selenium-Github: [13selenium] 15jleyba pushed 2 new commits to 06master: 02http://git.io/vnqb6
[2015-09-18 09:52:59] Selenium-Github: 13selenium/06master 14f315bf0 15Jason Leyba: [js] Update to dossier 0.7.1
[2015-09-18 09:53:00] Selenium-Github: 13selenium/06master 14c71d126 15Jason Leyba: [js] Bump to 2.47.0...
[2015-09-18 09:53:14] Nizumzen, joining. (#selenium)
[2015-09-18 09:58:00] ET1, quitting. (Quit: Leaving.)
[2015-09-18 09:59:36] ET1, joining. (#selenium)
[2015-09-18 10:00:50] __gotcha, joining. (#selenium)
[2015-09-18 10:04:35] ulmi, quitting. (Quit: Leaving.)
[2015-09-18 10:07:49] swampdragons, joining. (#selenium)
[2015-09-18 10:12:35] anu_c, quitting. (Ping timeout: 256 seconds)
[2015-09-18 10:12:58] seljenkinsbot: Project Chrome Linux Javascript Tests build #3996: UNSTABLE in 5 min 6 sec: http://ci.seleniumhq.org:8080/job/Chrome%20Linux%20Javascript%20Tests/3996/
[2015-09-18 10:13:06] Stampy, leaving. (#selenium)
[2015-09-18 10:15:48] alien_, quitting. (Ping timeout: 240 seconds)
[2015-09-18 10:22:48] WhereIsMySpoon, quitting. (Quit: http://www.kiwiirc.com/ - A hand crafted IRC client)
[2015-09-18 10:26:16] Citizenken, quitting. ()
[2015-09-18 10:26:53] dude-x, quitting. (Read error: Connection reset by peer)
[2015-09-18 10:27:51] titusfor_, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-18 10:28:35] titusfor_, joining. (#selenium)
[2015-09-18 10:28:44] dude-x, joining. (#selenium)
[2015-09-18 10:33:06] bbarke, leaving. (#selenium)
[2015-09-18 10:33:22] dude-x, quitting. (Read error: Connection reset by peer)
[2015-09-18 10:35:02] davehunt, quitting. (Remote host closed the connection)
[2015-09-18 10:35:59] dude-x, joining. (#selenium)
[2015-09-18 10:38:30] [rahul], quitting. (Quit: Leaving)
[2015-09-18 10:38:33] davehunt, joining. (#selenium)
[2015-09-18 10:39:31] davehunt, quitting. (Remote host closed the connection)
[2015-09-18 10:39:45] davehunt, joining. (#selenium)
[2015-09-18 10:41:55] dude-x, quitting. (Read error: Connection reset by peer)
[2015-09-18 10:42:33] seljenkinsbot: Project Firefox 39 Win7 Javascript Tests build #2041: UNSTABLE in 4 min 45 sec: http://ci.seleniumhq.org:8080/job/Firefox%2039%20Win7%20Javascript%20Tests/2041/
[2015-09-18 10:45:35] dude-x, joining. (#selenium)
[2015-09-18 10:46:33] Ardesco, joining. (#selenium)
[2015-09-18 10:47:01] shawnknight, joining. (#selenium)
[2015-09-18 10:48:16] nirvdrum, joining. (#selenium)
[2015-09-18 10:48:54] jleyba, joining. (#selenium)
[2015-09-18 10:49:24] eteixeira, quitting. (Ping timeout: 246 seconds)
[2015-09-18 10:53:45] Selenium-Github: [13selenium] 15jleyba pushed 1 new commit to 06gh-pages: 02http://git.io/vnmns
[2015-09-18 10:53:46] Selenium-Github: 13selenium/06gh-pages 147e3febd 15Jason Leyba: Updating javascript docs
[2015-09-18 10:58:17] jimpurbrick, joining. (#selenium)
[2015-09-18 10:58:58] titusfor_, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-18 11:01:00] jmeaney_, joining. (#selenium)
[2015-09-18 11:02:01] jmeaney, quitting. (Ping timeout: 240 seconds)
[2015-09-18 11:02:19] dude-x, quitting. (Read error: Connection reset by peer)
[2015-09-18 11:05:14] titusfor_, joining. (#selenium)
[2015-09-18 11:06:11] drptbl, joining. (#selenium)
[2015-09-18 11:07:58] dude-x, joining. (#selenium)
[2015-09-18 11:08:40] seljenkinsbot: Project IE 8 XP Java Tests build #4012: UNSTABLE in 13 min: http://ci.seleniumhq.org:8080/job/IE%208%20XP%20Java%20Tests/4012/
[2015-09-18 11:16:11] KaibutsuX_, joining. (#selenium)
[2015-09-18 11:22:45] drptbl, quitting. (Quit: My MAC has gone to sleep. zZz..)
[2015-09-18 11:23:38] drptbl, joining. (#selenium)
[2015-09-18 11:25:52] Selenium-Github: [13selenium] 15titusfortner pushed 1 new commit to 06master: 02http://git.io/vnmg9
[2015-09-18 11:25:53] Selenium-Github: 13selenium/06master 14ef90939 15Titus Fortner: rb - downgrade in rspec requires stub instead of receive_messages
[2015-09-18 11:27:37] Selenium-Github: [13selenium] 15titusfortner pushed 2 new commits to 06master: 02http://git.io/vnm2K
[2015-09-18 11:27:38] Selenium-Github: 13selenium/06master 14d9c9ea9 15Titus Fortner: rb - add support for w3c commands
[2015-09-18 11:27:38] Selenium-Github: 13selenium/06master 144f446af 15Titus Fortner: rb - update edge specs commensurate with Windows 10 build 10532
[2015-09-18 11:28:39] jmeaney, joining. (#selenium)
[2015-09-18 11:29:24] titusfor_: The 10532 build with Edge is looking pretty good. Still doesn't support things like xpath for findElements, and the alert handling might have a regression, but much more is supported than the first release
[2015-09-18 11:30:04] titusfor_, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-18 11:30:47] jmeaney_, quitting. (Ping timeout: 272 seconds)
[2015-09-18 11:30:58] bbarke1, joining. (#selenium)
[2015-09-18 11:31:35] jconstance, quitting. (Remote host closed the connection)
[2015-09-18 11:32:10] titusfor_, joining. (#selenium)
[2015-09-18 11:33:03] dude-x_, joining. (#selenium)
[2015-09-18 11:33:53] dude-x, quitting. (Ping timeout: 240 seconds)
[2015-09-18 11:35:39] jconstance, joining. (#selenium)
[2015-09-18 11:39:09] brma, quitting. (Quit: Leaving.)
[2015-09-18 11:43:09] titusfor_, quitting. (Quit: My Mac has gone to sleep. ZZZzzz…)
[2015-09-18 11:45:00] davehunt, quitting. (Remote host closed the connection)
[2015-09-18 11:49:10] Nizumzen, quitting. (Quit: KVIrc 4.2.0 Equilibrium http://www.kvirc.net/)
[2015-09-18 11:50:06] loa, joining. (#selenium)
[2015-09-18 11:50:08] loa: hello
[2015-09-18 11:50:24] loa: how i can debug my selenium erorrs? i trie to work with slimerjs
[2015-09-18 11:50:35] loa: i have error when i try to do implicit wait
[2015-09-18 11:51:47] dude-x_: loa: more info please
[2015-09-18 11:52:24] loa: dude-x_, yes i am working on this.
[2015-09-18 11:52:32] dude-x_: well if you are getting an error when you are trying to retrieve an element that is fetched by a find_element call and it times out, that means there is a lot of javascript there
[2015-09-18 11:52:54] lukeis: don't use implicit waits? :-D
[2015-09-18 11:53:50] Neo--, quitting. (Quit: My MacBook Pro has gone to sleep. ZZZzzz…)
[2015-09-18 11:57:21] loa: lukeis, i tried explicit too
[2015-09-18 11:57:23] loa: same result
[2015-09-18 11:57:28] loa: dude-x_, lukeis http://pastebin.com/4LdQtiuf
[2015-09-18 11:57:43] loa: looks like something with webdriver protocol
[2015-09-18 11:58:13] lukeis: looks like phantomjs crapped itself :)
[2015-09-18 11:58:18] lukeis: check the ghostdriver.log ?
[2015-09-18 11:58:31] dude-x_: loa: it's returning some message but it's not in json format.
[2015-09-18 11:58:33] dude-x_: which is annoying
[2015-09-18 11:58:52] dude-x_: but it has nothing to do with the standard selenium error messages
[2015-09-18 11:58:59] loa: dude-x_, can i watch that answer?
[2015-09-18 11:59:09] lukeis: i think i need to change the python bindings to spit out the raw result when it's not properly formatted…
[2015-09-18 11:59:33] dude-x_: yeah, i was going to work on that last weekend lukeis but if forgot
[2015-09-18 11:59:37] dude-x_: but i forgot.
[2015-09-18 12:00:15] lukeis: same issue with Microsoft's driver… hard to troubleshoot the failure when we swallow the response
[2015-09-18 12:01:06] dude-x_: basically we need a try: except ValueError: ...
[2015-09-18 12:01:19] lukeis: yep, with a raise
[2015-09-18 12:01:31] loa: so you think i need change source a little?
[2015-09-18 12:01:46] dude-x_: loa: sometihng is going wrong with slimerjs
[2015-09-18 12:01:47] lukeis: not you :)
[2015-09-18 12:02:03] lukeis: loa: did you check the ghostdriver.log file?
[2015-09-18 12:02:10] dude-x_: lukeis: with a raise? i was tihnking of adding a warning that would say "please bug the driver writer to always return JSON"
[2015-09-18 12:02:35] lukeis: warning? huh? the command failed, that should be an exception raised
[2015-09-18 12:02:52] dude-x_: it's already in the error handler
[2015-09-18 12:03:01] jimpurbrick, quitting. (Ping timeout: 240 seconds)
[2015-09-18 12:03:07] lukeis: no, that's the error handler trying to check if there's an error!
[2015-09-18 12:03:27] dude-x_: I see. usually in the stack trace i see it not matching the error type
[2015-09-18 12:03:35] dude-x_: so i guess it's two cases
[2015-09-18 12:03:49] loa: dude-x_, i run browser in debug mode and it is bloated.
[2015-09-18 12:04:04] dude-x_: bloated?
[2015-09-18 12:04:13] dude-x_: noisy logs?
[2015-09-18 12:04:24] lukeis: this case happens with a response that is typically html and not json :) (like the server replying with it's own 500 error page)
[2015-09-18 12:05:06] dude-x_: lukeis: good point
[2015-09-18 12:05:34] jimpurbrick, joining. (#selenium)
[2015-09-18 12:05:44] jimpurbrick, leaving. (#selenium)
[2015-09-18 12:05:55] dude-x_: loa: your code looks fine, but something is wrong with the driver/casper
[2015-09-18 12:06:02] loa: dude-x_, there are 7k strings
[2015-09-18 12:06:07] loa: i can post thiem
[2015-09-18 12:06:23] loa: but there nothing special some warning for js in that site
[2015-09-18 12:06:26] dude-x_: lukeis: errorhandler.py seems to be consistent area where json errors occur
[2015-09-18 12:06:36] lukeis: yep
[2015-09-18 12:06:55] loa: that moment that it is that file... looks like error is somewhere else
[2015-09-18 12:07:30] loa: slimerjs have not got webdriver in stable version so maybe right decision to open bug for this in slimerjs?
[2015-09-18 12:07:57] loa: i think it is not waiting that wait for some reason
[2015-09-18 12:08:03] loa: and returning buggy json
[2015-09-18 12:09:27] loa: maybe easier is to debug webdriver proto with wireshark?
[2015-09-18 12:09:38] kggr, quitting. (Ping timeout: 244 seconds)
[2015-09-18 12:09:46] dude-x_: loa: why not test against a real browser
[2015-09-18 12:10:30] loa: they are heavier
[2015-09-18 12:10:39] loa: i am looking something for data scraping
[2015-09-18 12:11:01] loa: thing that i selected slimerjs because it support flash
[2015-09-18 12:11:52] dude-x_: you script against any flash contenet?
[2015-09-18 12:12:02] dude-x_: you can^
[2015-09-18 12:12:35] loa: what you you can script?
[2015-09-18 12:12:39] loa: mean *
[2015-09-18 12:14:03] dude-x_: you said slimerjs supports flash. can you use webdriver to interact with the flash content?
[2015-09-18 12:15:11] loa: it loads flash right... something like youtube videos. i think you can click there at least
[2015-09-18 12:15:33] dude-x_: chrome can load flash
[2015-09-18 12:15:36] dude-x_: and it's fast.
[2015-09-18 12:17:24] loa: maybe i will move to it
[2015-09-18 12:17:46] loa: i tried to echo json value
[2015-09-18 12:17:51] loa: there is None
[2015-09-18 12:17:57] loa: so error somewhere else
[2015-09-18 12:18:09] spacenomad, joining. (#selenium)
[2015-09-18 12:18:17] loa: looks like you are right and better give up on this
[2015-09-18 12:18:20] dude-x_: if an element doesn't exist, it will throw a regular NoElementFoundException
[2015-09-18 12:18:30] dude-x_: instead there's osmething wrong on the SlimerJS side.
[2015-09-18 12:18:53] arbos, joining. (#selenium)
[2015-09-18 12:19:08] arbos, quitting. (Changing host)
[2015-09-18 12:19:09] arbos, joining. (#selenium)
[2015-09-18 12:20:28] loa: yeah i run this code using phantomjs
[2015-09-18 12:20:31] dude-x_, quitting. (Read error: Connection reset by peer)
[2015-09-18 12:20:32] loa: it run well
[2015-09-18 12:23:40] dude-x, joining. (#selenium)
[2015-09-18 12:32:55] __gotcha1, joining. (#selenium)
[2015-09-18 12:34:47] __gotcha, quitting. (Ping timeout: 250 seconds)
[2015-09-18 12:34:47] __gotcha1, changing nick to __gotcha.
