[2015-07-05 00:06:49] rorycb, joining. (#selenium)
[2015-07-05 07:52:27] nirvdrum, joining. (#selenium)
[2015-07-05 07:53:49] lilalinuxHamburg, joining. (#selenium)
[2015-07-05 08:07:05] Ardesco, quitting. (Quit: Ardesco)
[2015-07-05 08:08:34] Ardesco, joining. (#selenium)
[2015-07-05 08:10:28] Ardesco, quitting. (Client Quit)
[2015-07-05 08:12:38] Ardesco, joining. (#selenium)
[2015-07-05 08:12:52] rorycb, joining. (#selenium)
[2015-07-05 08:17:13] rorycb, quitting. (Ping timeout: 252 seconds)
[2015-07-05 08:51:03] MXfive, joining. (#selenium)
[2015-07-05 08:53:18] p0deje, quitting. (Quit: p0deje)
[2015-07-05 09:04:47] Ardesco, quitting. (Quit: Ardesco)
[2015-07-05 09:06:15] nirvdrum, quitting. (Ping timeout: 264 seconds)
[2015-07-05 09:09:17] merobertsjr__, joining. (#selenium)
[2015-07-05 09:12:45] leandroal, joining. (#selenium)
[2015-07-05 09:12:59] leandroal, quitting. (Remote host closed the connection)
[2015-07-05 09:15:39] fatguylaughing_, joining. (#selenium)
[2015-07-05 09:16:35] fatguylaughing, quitting. (Ping timeout: 246 seconds)
[2015-07-05 09:16:35] fatguylaughing_, changing nick to fatguylaughing.
[2015-07-05 09:23:18] merobertsjr__, quitting. (Quit: Be back later ...)
[2015-07-05 09:23:52] merobertsjr__, joining. (#selenium)
[2015-07-05 09:28:11] merobertsjr__, quitting. (Ping timeout: 246 seconds)
[2015-07-05 09:41:09] Kyl9, joining. (#selenium)
[2015-07-05 09:45:46] p0deje, joining. (#selenium)
[2015-07-05 10:03:53] dude-x, joining. (#selenium)
[2015-07-05 10:14:21] rorycb, joining. (#selenium)
[2015-07-05 10:18:35] rorycb, quitting. (Ping timeout: 246 seconds)
[2015-07-05 10:30:27] MXfive, quitting. (Quit: Quit)
[2015-07-05 10:46:47] Kyl9, quitting. (Remote host closed the connection)
[2015-07-05 11:01:14] admc, joining. (#selenium)
[2015-07-05 11:03:47] admc, quitting. (Client Quit)
[2015-07-05 11:06:49] Kyl9, joining. (#selenium)
[2015-07-05 11:18:21] p0deje, quitting. (Quit: p0deje)
[2015-07-05 11:20:52] nirvdrum, joining. (#selenium)
[2015-07-05 11:22:19] Ardesco, joining. (#selenium)
[2015-07-05 11:26:17] tony2, joining. (#selenium)
[2015-07-05 11:28:00] michl68, joining. (#selenium)
[2015-07-05 11:29:30] michl68, quitting. (Client Quit)
[2015-07-05 11:37:52] leandroal, joining. (#selenium)
[2015-07-05 12:10:41] dude-x, quitting. (Remote host closed the connection)
[2015-07-05 12:12:06] dude-x, joining. (#selenium)
[2015-07-05 12:16:34] dude-x, quitting. (Ping timeout: 250 seconds)
[2015-07-05 12:17:53] farlan, joining. (#selenium)
[2015-07-05 12:33:01] kggr, quitting. (Read error: Connection reset by peer)
[2015-07-05 12:34:32] leandroal, quitting. (Quit: This computer has gone to sleep)
[2015-07-05 12:44:27] smccarthy, joining. (#selenium)
[2015-07-05 12:51:17] kggr, joining. (#selenium)
[2015-07-05 13:12:49] dude-x, joining. (#selenium)
[2015-07-05 13:19:19] dude-x, quitting. (Ping timeout: 255 seconds)
[2015-07-05 13:39:47] Kyl9, quitting. (Remote host closed the connection)
[2015-07-05 14:07:02] sjmikem, quitting. (Remote host closed the connection)
[2015-07-05 14:14:05] Ardesco, quitting. (Quit: Ardesco)
[2015-07-05 14:50:45] Kyl9, joining. (#selenium)
[2015-07-05 14:52:42] leandroal, joining. (#selenium)
[2015-07-05 14:53:26] leandroal, quitting. (Client Quit)
[2015-07-05 14:55:03] Kyl9, quitting. (Ping timeout: 246 seconds)
[2015-07-05 15:06:09] tony2, quitting. (Quit: Leaving.)
[2015-07-05 15:06:24] tony2, joining. (#selenium)
[2015-07-05 15:09:39] dude-x, joining. (#selenium)
[2015-07-05 15:10:47] yenaemj, joining. (#selenium)
[2015-07-05 15:38:59] nirvdrum, quitting. (Ping timeout: 256 seconds)
[2015-07-05 15:55:54] sjmikem, joining. (#selenium)
[2015-07-05 15:57:53] dude-x, quitting. (Remote host closed the connection)
[2015-07-05 16:02:02] dude-x, joining. (#selenium)
[2015-07-05 16:17:16] korg, joining. (#selenium)
[2015-07-05 16:19:31] rorycb, joining. (#selenium)
[2015-07-05 16:20:31] kggr, quitting. (Ping timeout: 248 seconds)
[2015-07-05 16:23:35] fatguylaughing, quitting. (Ping timeout: 265 seconds)
[2015-07-05 16:24:15] rorycb, quitting. (Ping timeout: 264 seconds)
[2015-07-05 16:24:46] fatguylaughing, joining. (#selenium)
[2015-07-05 17:02:39] yenaemj, quitting. (Ping timeout: 248 seconds)
[2015-07-05 17:20:15] rorycb, joining. (#selenium)
[2015-07-05 17:24:34] rorycb, quitting. (Ping timeout: 244 seconds)
[2015-07-05 17:35:07] extor, quitting. (Read error: Connection reset by peer)
[2015-07-05 17:35:43] retornam, quitting. (Ping timeout: 256 seconds)
[2015-07-05 17:35:43] AutomatedTester, quitting. (Ping timeout: 256 seconds)
[2015-07-05 17:35:50] xtor, joining. (#selenium)
[2015-07-05 17:36:02] AutomatedTester_, joining. (#selenium)
[2015-07-05 17:36:15] AutomatedTester_, changing nick to AutomatedTester.
[2015-07-05 17:36:16] AutomatedTester, quitting. (Changing host)
[2015-07-05 17:36:16] AutomatedTester, joining. (#selenium)
[2015-07-05 17:39:31] retornam, joining. (#selenium)
[2015-07-05 17:53:14] dude-x__, joining. (#selenium)
[2015-07-05 17:53:17] dude-x___, joining. (#selenium)
[2015-07-05 17:53:18] dude-x, quitting. (Read error: Connection reset by peer)
[2015-07-05 17:53:51] dude-x_, quitting. (Ping timeout: 248 seconds)
[2015-07-05 18:01:47] dude-x___, quitting. (Ping timeout: 256 seconds)
[2015-07-05 18:01:47] dude-x__, quitting. (Ping timeout: 256 seconds)
[2015-07-05 18:06:53] dude-x, joining. (#selenium)
[2015-07-05 18:07:03] dude-x_, joining. (#selenium)
[2015-07-05 18:16:13] CSWookie, quitting. (Ping timeout: 246 seconds)
[2015-07-05 18:32:54] leandroal, joining. (#selenium)
[2015-07-05 18:40:45] fatguylaughing_, joining. (#selenium)
[2015-07-05 18:40:48] l3dx, quitting. (Quit: Connection closed for inactivity)
[2015-07-05 18:41:49] fatguylaughing, quitting. (Ping timeout: 250 seconds)
[2015-07-05 18:41:50] fatguylaughing_, changing nick to fatguylaughing.
[2015-07-05 18:44:08] errant_rider, joining. (#selenium)
[2015-07-05 18:45:04] errant_rider, quitting. (Client Quit)
[2015-07-05 18:45:20] errant_rider, joining. (#selenium)
[2015-07-05 18:46:58] nirvdrum, joining. (#selenium)
[2015-07-05 18:47:52] leandroal, quitting. (Quit: This computer has gone to sleep)
[2015-07-05 18:49:48] errant_rider, quitting. (Ping timeout: 256 seconds)
[2015-07-05 18:58:42] farlan, leaving. (#selenium)
[2015-07-05 19:06:27] leandroal, joining. (#selenium)
[2015-07-05 19:12:24] tony2, quitting. (Quit: Leaving.)
[2015-07-05 19:17:02] admc, joining. (#selenium)
[2015-07-05 19:21:53] rorycb, joining. (#selenium)
[2015-07-05 19:26:47] rorycb, quitting. (Ping timeout: 265 seconds)
[2015-07-05 19:46:41] smccarthy, quitting. (Remote host closed the connection)
[2015-07-05 19:54:00] nirvdrum, quitting. (Ping timeout: 255 seconds)
[2015-07-05 20:07:52] p0deje, joining. (#selenium)
[2015-07-05 20:14:39] p0deje, quitting. (Quit: p0deje)
[2015-07-05 20:24:59] p0deje, joining. (#selenium)
[2015-07-05 20:29:56] b_rare_, joining. (#selenium)
[2015-07-05 20:34:19] admc, quitting. (Quit: Leaving.)
[2015-07-05 20:38:12] mtscout6_, quitting. (Ping timeout: 256 seconds)
[2015-07-05 20:47:41] mtscout6, joining. (#selenium)
[2015-07-05 21:18:51] dude-x, quitting. (Remote host closed the connection)
[2015-07-05 21:23:25] rorycb, joining. (#selenium)
[2015-07-05 21:27:56] rorycb, quitting. (Ping timeout: 244 seconds)
[2015-07-05 21:31:39] smccarthy, joining. (#selenium)
[2015-07-05 21:32:58] Abhyuday, joining. (#selenium)
[2015-07-05 21:47:30] leandroal, quitting. (Quit: This computer has gone to sleep)
[2015-07-05 21:49:39] leandroal, joining. (#selenium)
[2015-07-05 21:55:44] smccarthy, quitting. (Quit: Leaving...)
[2015-07-05 22:19:44] dude-x, joining. (#selenium)
[2015-07-05 22:22:59] Abhyuday, quitting. (Remote host closed the connection)
[2015-07-05 22:24:08] dude-x, quitting. (Ping timeout: 246 seconds)
[2015-07-05 22:28:19] Abhyuday, joining. (#selenium)
[2015-07-05 22:38:16] admc, joining. (#selenium)
[2015-07-05 22:50:25] korg, quitting. (Ping timeout: 248 seconds)
[2015-07-05 22:54:09] Sudhansu, joining. (#selenium)
[2015-07-05 22:59:34] SitamJana, joining. (#selenium)
[2015-07-05 22:59:45] SitamJana, quitting. (Client Quit)
[2015-07-05 23:00:43] ybian_, joining. (#selenium)
[2015-07-05 23:06:16] SitamJana, joining. (#selenium)
[2015-07-05 23:06:30] SitamJana, quitting. (Client Quit)
[2015-07-05 23:06:54] SitamJana, joining. (#selenium)
[2015-07-05 23:08:17] ybian_, quitting. (Quit: Leaving)
[2015-07-05 23:10:34] fatguylaughing_, joining. (#selenium)
[2015-07-05 23:12:31] fatguylaughing, quitting. (Ping timeout: 276 seconds)
[2015-07-05 23:15:14] fatguylaughing_, quitting. (Ping timeout: 252 seconds)
[2015-07-05 23:17:45] admc1, joining. (#selenium)
[2015-07-05 23:17:45] admc, quitting. (Read error: Connection reset by peer)
[2015-07-05 23:17:58] Rollup, joining. (#selenium)
[2015-07-05 23:19:38] Abhyuday_, joining. (#selenium)
[2015-07-05 23:20:35] fatguylaughing, joining. (#selenium)
[2015-07-05 23:23:05] Abhyuday, quitting. (Ping timeout: 264 seconds)
[2015-07-05 23:24:42] rorycb, joining. (#selenium)
[2015-07-05 23:27:52] p0deje, quitting. (Quit: p0deje)
[2015-07-05 23:28:53] rorycb, quitting. (Ping timeout: 246 seconds)
[2015-07-05 23:30:32] fatguylaughing_, joining. (#selenium)
[2015-07-05 23:32:11] fatguylaughing, quitting. (Ping timeout: 250 seconds)
[2015-07-05 23:34:05] Rollup, quitting. (Quit: Leaving.)
[2015-07-05 23:35:00] fatguylaughing_, quitting. (Ping timeout: 256 seconds)
[2015-07-05 23:37:40] fatguylaughing_, joining. (#selenium)
[2015-07-05 23:37:43] fatguylaughing_, changing nick to fatguylaughing.
[2015-07-05 23:40:48] Rollup, joining. (#selenium)
[2015-07-05 23:42:19] fatguylaughing, quitting. (Ping timeout: 264 seconds)
[2015-07-05 23:42:20] kggr, joining. (#selenium)
[2015-07-05 23:44:59] fatguylaughing, joining. (#selenium)
[2015-07-05 23:47:51] fatguylaughing_, joining. (#selenium)
[2015-07-05 23:49:44] fatguylaughing, quitting. (Ping timeout: 265 seconds)
[2015-07-05 23:49:44] fatguylaughing_, changing nick to fatguylaughing.
[2015-07-05 23:51:19] rananda, joining. (#selenium)
[2015-07-05 23:52:52] fatguylaughing_, joining. (#selenium)
[2015-07-05 23:54:08] fatguylaughing, quitting. (Ping timeout: 256 seconds)
[2015-07-05 23:54:08] fatguylaughing_, changing nick to fatguylaughing.
[2015-07-05 23:58:56] fatguylaughing_, joining. (#selenium)
